Date,Volume,Return,volume_ch,hilo,intraday,2dvar,5dvar,20dvar,60dvar,next_2d_var,vol_next
2010-03-31,4484340000,-0.0032728749005279667,0.09775764993880043,0.007540114129886533,-0.0019798984425005717,0.0023444368715200355,0.0033918701991719614,0.0047320403152726,0.008945837257861342,0.007556621176721216,True
2010-04-01,4006870000,0.007413801253306929,-0.10647497736567701,0.009174173813115472,0.005865625126842966,0.007556621176721216,0.004359762153468399,0.004863423605369914,0.008983718476747116,0.0003635864523952288,False
2010-04-05,3881620000,0.007927990145379704,-0.03125881298869193,0.007652449965170005,0.007406385191309983,0.0003635864523952288,0.004937081810778089,0.0042519842689285265,0.009032838232170158,0.004414958674025752,True
2010-04-06,4086180000,0.0016842957112557233,0.052699646024082725,0.00763464481455145,0.0028919916114369393,0.004414958674025752,0.004829664672877769,0.004219664248070195,0.009023703700361691,0.005346436273437003,True
2010-04-07,5101430000,-0.005876706977002377,0.24845944133640718,0.010490529624124001,-0.004864402596541084,0.005346436273437003,0.006194631887459876,0.0045906786480810835,0.009058969181731213,0.006541479146257284,True
2010-04-08,4726970000,0.003374341549615467,-0.07340294780091072,0.011428666057205383,0.003968640575417792,0.006541479146257284,0.005576479541257878,0.004562128264311718,0.0090649649630501,0.002340216037618976,False
2010-04-09,4511570000,0.006683906808899298,-0.045568302739386946,0.006326083349344147,0.005810693464685546,0.002340216037618976,0.005436736655156249,0.004668624120410321,0.00900205757779652,0.003477054497017387,True
2010-04-12,4607090000,0.0017666091821069152,0.021172230509556522,0.003758225968285789,0.0012888003381250623,0.003477054497017387,0.004607151745779273,0.004642393494594871,0.008949681549645603,0.0007645293861368987,False
2010-04-13,5403580000,0.0006854013553991845,0.1728835338575978,0.008596838431578435,0.0011372711566624005,0.0007645293861368987,0.004620236921005366,0.004638609184161237,0.00894701875455199,0.00739963558808232,True
2010-04-14,5760040000,0.01115006636068383,0.06596737718327472,0.009977628568420549,0.009977628568420549,0.00739963558808232,0.004243031220155008,0.004912595401065525,0.008915595438815387,0.007288522412568805,False
2010-04-15,5995330000,0.0008425391151687389,0.04084867466198161,0.004484935043442162,0.000743348435403135,0.007288522412568805,0.00458301892665863,0.0048436896078839515,0.008789088212922335,0.011998947159607256,True
2010-04-16,8108470000,-0.016126534692145977,0.3524643347405396,0.019717404051039278,-0.014907028222556074,0.011998947159607256,0.009850430017480287,0.006299845226281991,0.008939433171334952,0.014600246234891994,True
2010-04-19,6597740000,0.004521331547225005,-0.18631505080489907,0.011987986915930726,0.004580273417247316,0.014600246234891994,0.010072003346073511,0.006165350864817985,0.008565856351987334,0.002501042970319433,False
2010-04-20,5316590000,0.00805834043592868,-0.1941801283469794,0.00795629561124267,0.006780428288933882,0.002501042970319433,0.01067956165474139,0.00628776051723409,0.008042054139934226,0.006418647059129979,True
2010-04-21,5724310000,-0.0010189972871791353,0.07668825318484207,0.010126382986222815,-0.001010713547198061,0.006418647059129979,0.009279278186819388,0.006182872024401299,0.00804053618060766,0.0023213446076689004,False
2010-04-22,6035780000,0.002263879739927921,0.05441179810317753,0.016871323062206844,0.005114279926915488,0.0023213446076689004,0.009361464829907101,0.005970383503363526,0.008004492103304074,0.0034362844463939773,True
2010-04-23,5326060000,0.0071235198081900375,-0.11758546534167913,0.010107089239540512,0.0077906016698428004,0.0034362844463939773,0.003691983479102493,0.006028245676230015,0.008024706487771652,0.008075136477093533,True
2010-04-26,5647760000,-0.004296447715729346,0.060401122030168564,0.007208586943168838,-0.004124575597728275,0.008075136477093533,0.005264872830734949,0.006194584754658548,0.007866196791391769,0.013495484795322117,True
2010-04-27,7454540000,-0.023381945344073785,0.3199109027295777,0.025185770489606574,-0.0216626570738917,0.013495484795322117,0.011699441477295134,0.008314671635601746,0.00838570517405072,0.021103387923514776,True
2010-04-28,6342310000,0.0064627520693814056,-0.14920169453782528,0.011203145462480801,0.0057150737337918756,0.021103387923514776,0.012597918698822722,0.008420229580370487,0.008246219260715188,0.004582388525753599,False
2010-04-29,6059410000,0.012943228070565027,-0.04460519905208038,0.013458422308336049,0.01129638770340824,0.004582388525753599,0.014360968731473814,0.008780512288947332,0.00824552105605706,0.020923931902785596,True
2010-04-30,6048260000,-0.01664768020452545,-0.0018401131463294806,0.018266610178026887,-0.016639524240086634,0.020923931902785596,0.015226721546107509,0.009557484962045571,0.00852770630194034,0.02104934383514306,True
2010-05-03,4938050000,0.013120587326188371,-0.1835585771775684,0.013924220172530033,0.011509578241617247,0.02104934383514306,0.017277482290026566,0.00983893118697791,0.007525672012547177,0.02613399701465979,True
2010-05-04,6594720000,-0.023838465690961486,0.3354907301465153,0.02515152991623948,-0.019958266388309,0.02613399701465979,0.01742262074084856,0.011253490654291747,0.008234589681945285,0.01219894291142973,False
2010-05-05,6795940000,-0.006586555179002418,0.030512288618773864,0.015369275682025174,-0.002882209836151839,0.01219894291142973,0.016883443968901173,0.011272081234487516,0.008190522967196601,0.01821997905818441,True
2010-05-06,10617810000,-0.03235349666924059,0.5623754771231058,0.09550653813156917,-0.031115255195403257,0.01821997905818441,0.01752435573537211,0.013257740115798455,0.009161630285564675,0.012052799230624049,False
2010-05-07,9472910000,-0.015308264532732041,-0.10782826213691898,0.03745371302025391,-0.014338473737222746,0.012052799230624049,0.017469798118406342,0.013373437762951836,0.00939045076497819,0.04191897887978544,True
2010-05-10,6893700000,0.04397412391989186,-0.27227219513328005,0.03704986790968534,0.03337874070626978,0.04191897887978544,0.0299738875966991,0.017072179420883748,0.010873068975656415,0.033496649197711885,False
